,GROUP,CONCEPT,NAME,NAME_USED,MAJOR_GROUP,TERR_GROUP,MAJOR_ORDER,SPECIES_NAME,NEW_GROUP,NEW_GROUP_2,bad_sp
12146,PlantBugs,Hem_1679,Hallodapus montandoni,Hem_1679,INSECTS,TERR_INC,OTHER_INSECTS,Hallodapus montandoni,TERRESTRIAL_INVERTS,TERRESTRIAL_INSECTS,no
12146,PlantBugs,Hem_1680,Hallodapus rufescens,Hem_1680,INSECTS,TERR_INC,OTHER_INSECTS,Hallodapus rufescens,TERRESTRIAL_INVERTS,TERRESTRIAL_INSECTS,no
12146,PlantBugs,Hem_1684,Halticus apterus,Hem_1684,INSECTS,TERR_INC,OTHER_INSECTS,Halticus apterus,TERRESTRIAL_INVERTS,TERRESTRIAL_INSECTS,no
12146,PlantBugs,Hem_1685,Halticus luteicollis,Hem_1685,INSECTS,TERR_INC,OTHER_INSECTS,Halticus luteicollis,TERRESTRIAL_INVERTS,TERRESTRIAL_INSECTS,no
12146,PlantBugs,Hem_1687,Halticus saltator,Hem_1687,INSECTS,TERR_INC,OTHER_INSECTS,Halticus saltator,TERRESTRIAL_INVERTS,TERRESTRIAL_INSECTS,no
12146,PlantBugs,Hem_1692,Harpocera thoracica,Hem_1692,INSECTS,TERR_INC,OTHER_INSECTS,Harpocera thoracica,TERRESTRIAL_INVERTS,TERRESTRIAL_INSECTS,no
12146,PlantBugs,Hem_1705,Henestaris halophilus,Hem_1705,INSECTS,TERR_INC,OTHER_INSECTS,Henestaris halophilus,TERRESTRIAL_INVERTS,TERRESTRIAL_INSECTS,no
12146,PlantBugs,Hem_1706,Henestaris laticeps,Hem_1706,INSECTS,TERR_INC,OTHER_INSECTS,Henestaris laticeps,TERRESTRIAL_INVERTS,TERRESTRIAL_INSECTS,no
12146,PlantBugs,Hem_1715,Heterocordylus genistae,Hem_1715,INSECTS,TERR_INC,OTHER_INSECTS,Heterocordylus genistae,TERRESTRIAL_INVERTS,TERRESTRIAL_INSECTS,no
12146,PlantBugs,Hem_1716,Heterocordylus tibialis,Hem_1716,INSECTS,TERR_INC,OTHER_INSECTS,Heterocordylus tibialis,TERRESTRIAL_INVERTS,TERRESTRIAL_INSECTS,no
12146,PlantBugs,Hem_1718,Heterogaster artemisiae,Hem_1718,INSECTS,TERR_INC,OTHER_INSECTS,Heterogaster artemisiae,TERRESTRIAL_INVERTS,TERRESTRIAL_INSECTS,no
12146,PlantBugs,Hem_1719,Heterogaster urticae,Hem_1719,INSECTS,TERR_INC,OTHER_INSECTS,Heterogaster urticae,TERRESTRIAL_INVERTS,TERRESTRIAL_INSECTS,no
12146,PlantBugs,Hem_1723,Heterotoma meriopterum,Hem_1723,INSECTS,TERR_INC,OTHER_INSECTS,Heterotoma planicornis,TERRESTRIAL_INVERTS,TERRESTRIAL_INSECTS,no
12146,PlantBugs,no_match,Heterotoma planicornis,Hem_1723,INSECTS,TERR_INC,OTHER_INSECTS,Heterotoma planicornis,TERRESTRIAL_INVERTS,TERRESTRIAL_INSECTS,no
12146,PlantBugs,Hem_1725,Himacerus apterus,Hem_1725,INSECTS,TERR_INC,OTHER_INSECTS,Himacerus apterus,TERRESTRIAL_INVERTS,TERRESTRIAL_INSECTS,no
12146,PlantBugs,Hem_2457,Himacerus boops,Hem_2457,INSECTS,TERR_INC,OTHER_INSECTS,Himacerus boops,TERRESTRIAL_INVERTS,TERRESTRIAL_INSECTS,no
12146,PlantBugs,Hem_1099,Himacerus major,Hem_1099,INSECTS,TERR_INC,OTHER_INSECTS,Himacerus major,TERRESTRIAL_INVERTS,TERRESTRIAL_INSECTS,no
12146,PlantBugs,Hem_1159,Himacerus mirmicoides,Hem_1159,INSECTS,TERR_INC,OTHER_INSECTS,Himacerus mirmicoides,TERRESTRIAL_INVERTS,TERRESTRIAL_INSECTS,no
12146,PlantBugs,Hem_1731,Hoplomachus thunbergi,Hem_1731,INSECTS,TERR_INC,OTHER_INSECTS,Hoplomachus thunbergi,TERRESTRIAL_INVERTS,TERRESTRIAL_INSECTS,no
