,SPECIES,SPECIES_NAME,GROUP,MAJOR_ORDER
277,SPHECODES reticulatus,SPHECODES reticulatus,Bees,TERRESTRIAL_INSECTS
278,SPHECODES rubicundus,SPHECODES rubicundus,Bees,TERRESTRIAL_INSECTS
279,SPHECODES scabricollis,SPHECODES scabricollis,Bees,TERRESTRIAL_INSECTS
280,STELIS breviuscula,STELIS breviuscula,Bees,TERRESTRIAL_INSECTS
281,STELIS ornatula,STELIS ornatula,Bees,TERRESTRIAL_INSECTS
282,STELIS punctulatissima,STELIS punctulatissima,Bees,TERRESTRIAL_INSECTS
283,Bry_1353,Abietinella abietina,Bryophytes,LOWER_PLANTS
284,Bry_1,Acaulon muticum s.l.,Bryophytes,LOWER_PLANTS
285,Bry_681,Adelanthus decipiens,Bryophytes,LOWER_PLANTS
286,Bry_19,Amblystegium serpens,Bryophytes,LOWER_PLANTS
287,Bry_21,Amphidium lapponicum,Bryophytes,LOWER_PLANTS
288,Bry_22,Amphidium mougeotii,Bryophytes,LOWER_PLANTS
289,Bry_683,Anastrepta orcadensis,Bryophytes,LOWER_PLANTS
290,Bry_684,Anastrophyllum donnianum,Bryophytes,LOWER_PLANTS
291,Bry_951,Anastrophyllum hellerianum,Bryophytes,LOWER_PLANTS
292,Bry_952,Anastrophyllum minutum,Bryophytes,LOWER_PLANTS
293,Bry_23,Andreaea alpina,Bryophytes,LOWER_PLANTS
294,Bry_25,Andreaea rothii agg. sensu Smith (1978),Bryophytes,LOWER_PLANTS
295,Bry_26,Andreaea rupestris agg. sensu Smith (1978),Bryophytes,LOWER_PLANTS
296,Bry_901,Aneura pinguis,Bryophytes,LOWER_PLANTS
297,Bry_27,Anoectangium aestivum,Bryophytes,LOWER_PLANTS
298,Bry_1503,Anomobryum julaceum s.l.,Bryophytes,LOWER_PLANTS
299,Bry_33,Anomodon viticulosus,Bryophytes,LOWER_PLANTS
300,Bry_686,Anthelia julacea,Bryophytes,LOWER_PLANTS
301,Bry_687,Anthelia juratzkana,Bryophytes,LOWER_PLANTS
302,Bry_34,Antitrichia curtipendula,Bryophytes,LOWER_PLANTS
303,Bry_691,Aphanolejeunea microscopica,Bryophytes,LOWER_PLANTS
304,Bry_442,Aphanorrhegma patens,Bryophytes,LOWER_PLANTS
305,Bry_35,Archidium alternifolium,Bryophytes,LOWER_PLANTS
306,Bry_38,Atrichum crispum,Bryophytes,LOWER_PLANTS
307,Bry_40,Atrichum undulatum,Bryophytes,LOWER_PLANTS
